Date	Blues	Reds
25.11.20	10	8
25.11.20	7	10
26.11.20	4	10
27.11.20	4	10
30.11.20	4	10
01.12.20	6	10
01.12.20	4	10
02.12.20	7	10
02.12.20	2	10
04.12.20	4	10
07.12.20	8	10
07.12.20	7	10
10.12.20	12	14
10.12.20	4	10
11.12.20	8	10
05.01.21	9	11
06.01.21	14	12
07.01.21	10	5
11.01.21	6	10
11.01.21	10	5
12.01.21	10	7
12.01.21	14	12
13.01.21	5	10
13.01.21	10	7
13.01.21	4	10
